questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
41,"Procedimientos de policia","Actividad de policia",4,"Pregunta verdadero/falso sobre finalidad de preservar convivencia y restablecer comportamientos que la alteren.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016."
42,"Procedimientos de policia","Medidas correctivas",4,"Pregunta verdadero/falso sobre objeto de las medidas correctivas.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016."
43,"Procedimientos de policia","Medidas correctivas",4,"Pregunta sobre numero de medidas correctivas de atribucion del personal de Policia Nacional.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar si son 10 medidas de atribucion policial."
44,"Procedimientos de policia","Deberes de autoridades",4,"Pregunta verdadero/falso sobre deber de conocer y aplicar mecanismos alternativos de solucion de conflictos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con Ley 1801 de 2016."
45,"Procedimientos de policia","Medidas correctivas",4,"Pregunta sobre articulo de la Ley 1801 relativo a medidas correctivas de competencia de Policia Nacional.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar si corresponde al articulo 154."
46,"Procedimientos de policia","Objeto de la Ley 1801",4,"Pregunta verdadero/falso sobre caracter preventivo y condiciones para convivencia.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 4","Validar con objeto de la Ley 1801."
47,"Procedimientos de policia","Objetivos especificos Ley 1801",5,"Pregunta sobre objetivo especifico de definir comportamientos, medidas, medios y procedimientos.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con Ley 1801 de 2016."
48,"Procedimientos de policia","Convivencia",5,"Pregunta sobre definicion de interaccion pacifica, respetuosa y armonica.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con articulo 5 de Ley 1801."
49,"Procedimientos de policia","Categorias juridicas",5,"Pregunta sobre numero de categorias juridicas en la Ley 1801.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con estructura de categorias juridicas."
50,"Procedimientos de policia","Finalidades Ley 1801",5,"Pregunta sobre opcion que no hace parte de las finalidades de la Ley 1801.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 5","Validar con finalidades de la Ley 1801."
