questionNumber,courseName,topicTitle,sourcePage,statementSummary,proposedCorrectOption,validationStatus,supportReference,reviewerNotes
1,"Atencion al ciudadano","Comunicacion no verbal",1,"Pregunta sobre distancia personal en la comunicacion.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar con material de atencion al ciudadano."
2,"Atencion al ciudadano","Competencias ciudadanas",1,"Pregunta sobre respeto a ideas o creencias diferentes.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar definicion de tolerancia."
3,"Atencion al ciudadano","Orientacion al ciudadano",1,"Pregunta sobre capacidad de brindar apoyo tras comprender una situacion.","B","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar con contenido de servicio al ciudadano."
4,"Atencion al ciudadano","Trato al ciudadano",1,"Pregunta sobre conducta agradable y servicial.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar con material de amabilidad y cortesia."
5,"Atencion al ciudadano","Linea de emergencia",1,"Pregunta verdadero/falso sobre atencion por linea 123.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar con canales institucionales."
6,"Atencion al ciudadano","Canales de atencion",1,"Pregunta sobre modalidades de atencion a personas.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar canales virtual, telefonico y presencial."
7,"Atencion al ciudadano","Consulta ciudadana",1,"Pregunta sobre aplicativo para consulta de antecedentes.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar aplicacion institucional vigente."
8,"Atencion al ciudadano","Frentes de seguridad",1,"Pregunta sobre utilidad de los frentes de seguridad.","A","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar con material de participacion ciudadana."
9,"Atencion al ciudadano","Red de apoyo",1,"Pregunta sobre conformacion de la red de apoyo y solidaridad.","D","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar con definicion oficial."
10,"Atencion al ciudadano","Linea de emergencia",1,"Pregunta sobre numero de linea de emergencia.","C","PENDIENTE_VALIDACION","Repositorio evaluacion teorica virtual, pagina 1","Validar linea 123."
